id,second name,origin,language
645,Sesay,Africa,Amharic/Akan/Mandinka
646,Bangura,Africa,Amharic/Akan/Mandinka
647,Kargo,Africa,Amharic/Akan/Mandinka
648,Mansaray,Africa,Amharic/Akan/Mandinka
649,Turay,Africa,Amharic/Akan/Mandinka
650,Kanuteh,Africa,Amharic/Akan/Mandinka
651,Fofanah,Africa,Amharic/Akan/Mandinka
652,Barrie,Africa,Amharic/Akan/Mandinka
653,Tan,East/Southeast Asia,Chinese/Hokkien/Cantonese
654,Ng,East/Southeast Asia,Chinese/Hokkien/Cantonese
655,Ong,East/Southeast Asia,Chinese/Hokkien/Cantonese
656,Goh,East/Southeast Asia,Chinese/Hokkien/Cantonese
657,Chua,East/Southeast Asia,Chinese/Hokkien/Cantonese
658,Chan,East/Southeast Asia,Chinese/Hokkien/Cantonese
659,Teo,East/Southeast Asia,Chinese/Hokkien/Cantonese
660,Phua,East/Southeast Asia,Chinese/Hokkien/Cantonese
661,Wong,East/Southeast Asia,Chinese/Hokkien/Cantonese
662,Lau,East/Southeast Asia,Chinese/Hokkien/Cantonese
663,Leung,East/Southeast Asia,Chinese/Hokkien/Cantonese
664,Cheung,East/Southeast Asia,Chinese/Hokkien/Cantonese
665,Ho,East/Southeast Asia,Chinese/Hokkien/Cantonese
666,Tsang,East/Southeast Asia,Chinese/Hokkien/Cantonese
667,Tse,East/Southeast Asia,Chinese/Hokkien/Cantonese
668,Mak,East/Southeast Asia,Chinese/Hokkien/Cantonese
669,Lai,East/Southeast Asia,Chinese/Hokkien/Cantonese
670,Kwok,East/Southeast Asia,Chinese/Hokkien/Cantonese
671,Nasser,Middle East,Arabic
672,Saddam,Middle East,Arabic
673,Asad,Middle East,Arabic
674,Kashif,Middle East,Arabic
675,Hamad,Middle East,Arabic
676,Zaid,Middle East,Arabic
677,Fahd,Middle East,Arabic
678,Tariq,Middle East,Arabic
679,Ziyad,Middle East,Arabic
680,Marwan,Middle East,Arabic
681,Name1,Global,Universal
682,Name2,Global,Universal
683,Name3,Global,Universal
684,Name4,Global,Universal
685,Name5,Global,Universal
686,Name6,Global,Universal
687,Name7,Global,Universal
688,Name8,Global,Universal
689,Name9,Global,Universal
690,Name10,Global,Universal
691,Name11,Global,Universal
692,Name12,Global,Universal
693,Name13,Global,Universal
694,Name14,Global,Universal
695,Name15,Global,Universal
696,Name16,Global,Universal
697,Name17,Global,Universal
698,Name18,Global,Universal
699,Name19,Global,Universal
700,Name20,Global,Universal
701,Name21,Global,Universal
702,Name22,Global,Universal
703,Name23,Global,Universal
704,Name24,Global,Universal
705,Name25,Global,Universal
706,Name26,Global,Universal
707,Name27,Global,Universal
708,Name28,Global,Universal
709,Name29,Global,Universal
710,Name30,Global,Universal
711,Name31,Global,Universal
712,Name32,Global,Universal
713,Name33,Global,Universal
714,Name34,Global,Universal
715,Name35,Global,Universal
716,Name36,Global,Universal
717,Name37,Global,Universal
718,Name38,Global,Universal
719,Name39,Global,Universal
720,Name40,Global,Universal
721,Name41,Global,Universal
722,Name42,Global,Universal
723,Name43,Global,Universal
724,Name44,Global,Universal
725,Name45,Global,Universal
726,Name46,Global,Universal
727,Name47,Global,Universal
728,Name48,Global,Universal
729,Name49,Global,Universal
730,Name50,Global,Universal
731,Name51,Global,Universal
732,Name52,Global,Universal
733,Name53,Global,Universal
734,Name54,Global,Universal
735,Name55,Global,Universal
736,Name56,Global,Universal
737,Name57,Global,Universal
738,Name58,Global,Universal
739,Name59,Global,Universal
740,Name60,Global,Universal
741,Name61,Global,Universal
742,Name62,Global,Universal
743,Name63,Global,Universal
744,Name64,Global,Universal
745,Name65,Global,Universal
746,Name66,Global,Universal
747,Name67,Global,Universal
748,Name68,Global,Universal
749,Name69,Global,Universal
750,Name70,Global,Universal
751,Name71,Global,Universal
752,Name72,Global,Universal
753,Name73,Global,Universal
754,Name74,Global,Universal
755,Name75,Global,Universal
756,Name76,Global,Universal
757,Name77,Global,Universal
758,Name78,Global,Universal
759,Name79,Global,Universal
760,Name80,Global,Universal
761,Name81,Global,Universal
762,Name82,Global,Universal
763,Name83,Global,Universal
764,Name84,Global,Universal
765,Name85,Global,Universal
766,Name86,Global,Universal
767,Name87,Global,Universal
768,Name88,Global,Universal
769,Name89,Global,Universal
770,Name90,Global,Universal
771,Name91,Global,Universal
772,Name92,Global,Universal
773,Name93,Global,Universal
774,Name94,Global,Universal
775,Name95,Global,Universal
776,Name96,Global,Universal
777,Name97,Global,Universal
778,Name98,Global,Universal
779,Name99,Global,Universal
780,Name100,Global,Universal
781,Name101,Global,Universal
782,Name102,Global,Universal
783,Name103,Global,Universal
784,Name104,Global,Universal
785,Name105,Global,Universal
786,Name106,Global,Universal
787,Name107,Global,Universal
788,Name108,Global,Universal
789,Name109,Global,Universal
790,Name110,Global,Universal
791,Name111,Global,Universal
792,Name112,Global,Universal
793,Name113,Global,Universal
794,Name114,Global,Universal
795,Name115,Global,Universal
796,Name116,Global,Universal
797,Name117,Global,Universal
798,Name118,Global,Universal
799,Name119,Global,Universal
800,Name120,Global,Universal
