id,second name,origin,language
734,Kissç,Hungary,Hungarian
735,Molnárï,Hungary,Hungarian
736,Horváthâ,Hungary,Hungarian
737,Popescué,Romania,Romanian
738,Raduü,Romania,Romanian
739,N'Diayeô,Senegal,Wolof
740,Dialloñ,Guinea,Fula
741,Diopç,Senegal,Wolof
742,Traoréï,Mali,Bambara
743,Keïtaâ,Mali,Bambara
744,Oseié,Ghana,Twi
745,Mensahü,Ghana,Akan
746,Owusuô,Ghana,Akan
747,Okaforñ,Nigeria,Igbo
748,Okekeç,Nigeria,Igbo
749,Chukwuï,Nigeria,Igbo
750,Nwachukwuâ,Nigeria,Igbo
751,Adebayọé,Nigeria,Yoruba
752,Oluwaseunü,Nigeria,Yoruba
753,Abebeô,Ethiopia,Amharic
754,Kebedeñ,Ethiopia,Amharic
755,Bekeleç,Ethiopia,Amharic
756,Musaï,Nigeria,Hausa
757,Ibrahimâ,Nigeria,Hausa
758,Mwangié,Kenya,Kikuyu
759,Mainaü,Kenya,Kikuyu
760,Kamauô,Kenya,Kikuyu
761,Ochiengñ,Kenya,Luo
762,Onyangoç,Kenya,Luo
763,Odhiamboï,Kenya,Luo
764,Otienoâ,Kenya,Luo
765,Njorogeé,Kenya,Kikuyu
766,Karanjaü,Kenya,Kikuyu
767,Ilungaô,DR Congo,Lingala
768,Kalalañ,DR Congo,Luba
769,Mambaç,DR Congo,Swahili
770,Nganduï,DR Congo,Luba
771,Mukendiâ,DR Congo,Luba
772,Kabilaé,DR Congo,Swahili
773,Mbuyiü,DR Congo,Luba
774,Chilubaô,Zambia,Bemba
775,Phiriñ,Malawi,Chichewa
776,Bandaç,Malawi,Chichewa
777,Moyoï,Zimbabwe,Shona
778,Sibandaâ,Zimbabwe,Ndebele
779,Ndlovué,South Africa,Zulu
780,Dlaminiü,South Africa,Zulu
781,Khumaloô,South Africa,Zulu
782,Mthembuñ,South Africa,Zulu
783,Butheleziç,South Africa,Zulu
784,Celeï,South Africa,Zulu
785,Mokoenaâ,South Africa,Sotho
786,Modiseé,South Africa,Tswana
787,Molefeü,South Africa,Sotho
788,Ntsikaô,South Africa,Xhosa
789,Qwabeñ,South Africa,Zulu
790,Nguyễnç,Vietnam,Vietnamese
791,Trầnï,Vietnam,Vietnamese
792,Lêâ,Vietnam,Vietnamese
793,Phạmé,Vietnam,Vietnamese
794,Huỳnhü,Vietnam,Vietnamese
795,Hoàngô,Vietnam,Vietnamese
796,Phanñ,Vietnam,Vietnamese
797,Vũç,Vietnam,Vietnamese
798,Đặngï,Vietnam,Vietnamese
799,Bùiâ,Vietnam,Vietnamese
800,Đỗé,Vietnam,Vietnamese
