ID,first_name,gender,origin,Language
766,Bandile,Male,South African,Zulu
767,Ella,Female,Germany,German
768,Astou,Female,Senegal,Wolof
769,Ramatoulaye,Female,Senegal,Wolof
770,Flora,Female,Latin,Latin
771,Tanvi,Female,Hindi,Hindi
772,Salif,Male,Senegal,Wolof
773,Elizabeth,Female,British,English
774,Ursula,Female,Germany,German
775,Esi,Female,Ghana,Akan
776,Brian,Male,Irish,Irish
777,Emma,Female,American,English
778,Franck,Male,Cameroon,French
779,Mufaro,Female,Zimbabwean,Shona
780,Felix,Male,Germany,German
781,Mia,Female,British,English
782,Mariama,Female,Senegal,Wolof
783,Alexander,Male,Germany,German
784,Vihaan,Male,Hindi,Hindi
785,Pape,Male,Senegal,Wolof
786,Sanjay,Male,Hindi,Hindi
787,Maria,Female,Spanish,Spanish
788,Dominic,Male,Latin,Latin
789,Dieter,Male,Germany,German
790,Habib,Male,Senegal,Wolof
791,Elijah,Male,American,English
792,Wyatt,Male,American,English
793,Titus,Male,Latin,Latin
794,Ekow,Male,Ghana,Akan
795,Alioune,Male,Senegal,Wolof
796,Aba,Female,Ghana,Akan
797,Renate,Female,Germany,German
798,Thandi,Female,South African,Zulu
799,Daniel,Male,Spanish,Spanish
800,Stefan,Male,Germany,German
